Cancer Type,Source URL,Scrape Date,Content Hash,General Description,Prognosis (Vooruitzichten),Symptoms (Symptomen),Causes (Oorzaken),Treatments (Behandeling)
Huidkanker,https://www.kanker.nl/kankersoorten/huidkanker,2026-05-31 14:55:27,d7f3c831f92272ac4b88cf9650559b3fd8b99ea1ecbb1417f8bf7b1b3c673435,"Een vlekje, plekje of knobbeltje op je huid dat er anders uitziet dan normaal. Is het onschuldig of is het huidkanker? Lees hoe je huidkanker kunt herkennen en welke soorten huidkanker er zijn.",De vooruitzichten bij huidkanker zijn goed. Bijna alle mensen met een basaalcelcarcinoom worden weer beter. Tien jaar na de diagnose zijn 9 van de 10 mensen met een melanoom of een plaveiselcelcarcinoom nog in leven.,"Bij de meeste mensen met huidkanker gaat het om een basaalcelcarcinoom. Als je een basaalcelcarcinoom hebt, is dat meestal op een plaats die veel in de zon is geweest. Zoals je gezicht, je handen en je onderarmen. Een basaalcelcarcinoom lijkt in het begin vaak op iets anders. Bijvoorbeeld op een glad knobbeltje of zweertje. Soms lijkt het op een plekje met eczeem of ziet het er uit als een moedervlek. Een basaalcelcarcinoom doet geen pijn en jeukt niet.",N/A,"Welke behandeling je krijgt, ligt aan de soort huidkanker die je hebt. Als het kan, verwijdert de arts de huidkanker door het plekje helemaal weg te snijden. Andere behandelingen die je kunt krijgen zijn bijvoorbeeld bestraling of een behandeling met een crème of tabletten. Lees meer over de behandeling van basaalcelcarcinoom . Lees meer over de behandeling van plaveiselcelcarcinoom . Lees meer over de behandeling van melanoom ."
Gastro-intestinale stromale tumor,https://www.kanker.nl/kankersoorten/gastro-intestinale-stromale-tumor,2026-05-31 14:55:18,fd6937b72639665df335c40d785b71afe41c3c3e7b89dd7b719094840c8b9117,Een gastro-intestinale stromale tumor (GIST) is een vorm van kanker in de maag of de darmen. De tumor ontstaat in het bindweefsel dat om de organen heen zit. Daarom is het een andere soort kanker dan bijvoorbeeld maagkanker. Een GIST is zeldzaam.,"Veel mensen die net gehoord hebben dat ze kanker hebben, willen iets weten over hun vooruitzichten. Wat staat er te gebeuren en hoe lang heb ik nog te leven? Soms is daar iets over te zeggen, maar soms ook niet. De prognose hangt af van verschillende dingen. Bijvoorbeeld van hoe groot de tumor is, of er uitzaaiingen zijn en of de behandeling goed aanslaat. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan je misschien meer vertellen.",Het is vaak lastig om een GIST zelf te ontdekken. De klachten zijn meestal niet zo duidelijk. Symptomen van een GIST zijn bijvoorbeeld buikpijn of andere buikklachten. Of zwarte ontlasting en bloedarmoede. Bij dit soort klachten denkt de arts misschien eerst aan andere ziektes. Soms wordt een GIST toevallig ontdekt.,Er zijn geen risicofactoren bekend voor een GIST. Een GIST ontstaat meestal door een bepaalde fout in het DNA. Je hebt geen invloed op het wel of niet ontstaan van deze fout. Ook is deze fout bijna nooit erfelijk.,"De meeste mensen met een GIST krijgen een operatie, samen met doelgerichte therapie."
Kanker bij kinderen,https://www.kanker.nl/kankersoorten/kanker-bij-kinderen,2026-05-31 14:55:30,17c035e8ea80a041d120c5a1434162cfe4e78be6a157b7be72a2344f26734bab,"Kanker komt ook voor bij kinderen. Kinderkanker is niet een soort kanker, maar een verzamelnaam voor de verschillende kankersoorten bij kinderen. Elk jaar krijgen zo’n 600 kinderen een vorm van kanker. De meeste kinderen genezen van kanker.",N/A,N/A,N/A,N/A
Hodgkinlymfoom,https://www.kanker.nl/kankersoorten/hodgkinlymfoom,2026-05-31 14:55:23,c6d095660bafd1f0d4f4ba512742ac8297a52719231211941457256fcca13d06,Hodgkinlymfoom is een vorm van lymfeklierkanker. De kanker ontstaat in een lymfeklier of in lymfeweefsel. Vanuit daar kunnen de kankercellen zich verspreiden door het lichaam. Hodgkinlymfoom heet ook wel de ziekte van Hodgkin.,"Als je weet dat je hodgkinlymfoom hebt, heb je misschien vragen over je vooruitzichten. Is hodgkinlymfoom goed te behandelen en wat zijn de verwachtingen? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van hodgkinlymfoom hangt af van verschillende dingen. Bijvoorbeeld of de kanker gevoelig is voor de medicijnen. De meeste mensen met hodgkinlymfoom genezen na een behandeling. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Of bekijk de overlevingscijfers van hodgkinlymfoom .","Soms voel je een lymfeklier die groter is dan normaal en merk je zo een hodgkinlymfoom op. Bijvoorbeeld als het lymfoom in je hals zit, in je oksel of in je lies. Maar dat hoeft niet: er zitten ook lymfeklieren dieper in je lichaam, die je niet voelt als ze opgezet zijn. Je kunt ook andere klachten hebben door een hodgkinlymfoom.",Meestal is er geen duidelijke oorzaak van hodgkinlymfoom. Hodgkinlymfoom is ook niet erfelijk.,"Er zijn verschillende behandelingen mogelijk bij een hodgkinlymfoom. De meeste mensen krijgen chemotherapie, soms gecombineerd met bestraling of immunotherapie."
Hoge urinewegkanker,https://www.kanker.nl/kankersoorten/hoge-urinewegkanker,2026-05-31 14:55:25,946b8333349737ff0288021712b9e53b0630edb31711f16ff2b61936fec750dd,Hoge urinewegkanker is kanker die ontstaat in 1 of allebei de urineleiders of nierbekkens. Deze soort kanker komt heel weinig voor.,"Begrijpelijk dat je op zoek gaat naar wat kanker betekent voor je vooruitzichten. Is het goed te behandelen? En wat kun je verwachten voor de toekomst? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van hoge urinewegkanker hangt af van verschillende dingen. Bijvoorbeeld van hoe groot de tumor is. En of er uitzaaiingen zijn. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Bekijk de cijfers over hoge urinewegkanker .",Hoge urinewegkanker en de behandeling ervan kunnen invloed hebben op je leven. Sommige mensen blijven last houden van de gevolgen van de behandeling. Bijvoorbeeld van vermoeidheid.,Mensen die roken hebben meer kans op hoge urinewegkanker. Er zijn ook chemische stoffen waar sommige mensen mee gewerkt hebben die de kans op hoge urinewegkanker groter maken. Soms is hoge urinewegkanker erfelijk. Dat betekent dat de kans om deze soort kanker te krijgen in jouw familie groter is.,"Zijn er nog geen uitzaaiingen, dan krijgen de meeste mensen een operatie. Is de kanker wel uitgezaaid, dan kan immunotherapie of chemotherapie een behandeling zijn."
Hersentumoren,https://www.kanker.nl/kankersoorten/hersentumoren,2026-05-31 14:55:22,14c51230a8c516e93700e3367afdb0b75893f2fa900246888053bd009f536ea4,Een hersentumor ontstaat in de hersenen of in de hersenvliezen. Soms zaait zo’n tumor uit naar andere delen van de hersenen of naar het ruggenmerg. Dan is het kanker.,"Begrijpelijk dat je wilt weten wat een hersentumor betekent voor je vooruitzichten. Is de tumor goed te behandelen en wat kan je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van een hersentumor hangt af van verschillende dingen: de soort hersentumor die je hebt de plek van de hersentumor binnen de hersenen de tumorgraad: de snelheid waarmee tumorcellen groeien en zich delen de kenmerken van de tumor: veranderingen in het DNA van de tumor. Je arts kan je hier meer over vertellen.","Als je een hersentumor hebt, kun je verschillende klachten krijgen. Symptomen die veel voorkomen: hoofdpijn die niet overgaat, problemen met denken, veranderingen in persoonlijkheid en gedrag, uitvalsverschijnselen en epileptische aanvallen. Niet iedereen met een hersentumor heeft dezelfde symptomen. Welke klachten iemand heeft, hangt af van: de grootte van de tumor de groeisnelheid de plaats van de tumor","Een belangrijke oorzaak van cognitieve problemen is de tumor zelf. Die kan op hersenweefsel drukken, waardoor (delen van) de hersenen niet goed meer werken. Een andere oorzaak is behandeling met bestraling of chemotherapie. Deze behandelingen kunnen gezond hersenweefsel beschadigen. Ook medicijnen tegen epilepsie kunnen invloed hebben.","De behandeling van een glioom hangt af van: het soort glioom: in welk soort cel is het ontstaan de graad van het glioom de grootte en uitgebreidheid van het glioom de kenmerken van het glioom: veranderingen in het DNA van de tumor Mogelijke behandelingen zijn: een operatie chemoradiatie chemotherapie bestraling medicijnen tegen de klachten van een glioom, zoals epilepsie of hoofdpijn. De behandeling van een glioom graad 2, 3 of 4 heeft als doel om de groei van de tumor te remmen en daardoor klachten te voorkomen of te verminderen. Je kunt er niet van genezen."
Leukemie,https://www.kanker.nl/kankersoorten/leukemie,2026-05-31 14:55:34,8250aa0b849df89cf77539f1684d5992193b9a5a0818f3ec7e1da5b6a3d3261e,Leukemie is kanker van de witte bloedcellen. Het is een verzamelnaam van veel verschillende soorten leukemie. De belangrijkste tweedeling is acute leukemie en chronische leukemie.,De overlevingskansen van leukemie zijn heel verschillend. Ze hangen af van de precieze soort leukemie. Over het algemeen is de prognose van chronische leukemie beter dan de prognose van acute leukemie.,"Bij leukemie gaat er iets mis in het beenmerg bij de aanmaak van bloedcellen. De verschillende soorten bloedcellen zijn nodig voor de bloedstolling, je afweer en het transport van zuurstof naar de cellen. Bij leukemie kunnen verschillende symptomen ontstaan: meer kans op bloedingen blauwe plekken grotere kans op infecties vermoeidheid door bloedarmoede Welke symptomen je kunt krijgen, ligt vooral aan de soort leukemie.","Dat er een fout in het DNA van de stamcellen ontstaat, is meestal toeval. De fouten zijn niet erfelijk, maar in sommige families komt vaker leukemie voor dan gemiddeld. Als je eerder bestraling of chemotherapie hebt gehad, kan de kans op leukemie groter worden. Ook door bepaalde toxische stoffen of radioactieve straling. Leukemie is net als alle andere kankersoorten niet besmettelijk.","Er zijn veel behandelingen mogelijk bij leukemie. Welke behandeling je krijgt, hangt heel sterk af van de soort leukemie die je hebt. Soms moet de behandeling acuut gestart worden en soms is nog lange tijd geen behandeling nodig. Je conditie en fitheid zijn vaak ook belangrijk bij het kiezen van een behandeling, zeker bij acute leukemie."
Keelkanker,https://www.kanker.nl/kankersoorten/keelkanker,2026-05-31 14:55:31,9cc0976e8845f7d976671fe220234b09b8035c74f322684da8f17bcfe9a9b17b,Keelkanker is kanker die in de keel ontstaat. Het medische woord is farynxcarcinoom. Farynx betekent keel. Keelkanker komt weinig voor. Per jaar krijgen ongeveer 1000 mensen de diagnose. Dat zijn vooral mannen.,"Het is begrijpelijk dat je meer wilt weten over je vooruitzichten. Is keelkanker goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van keelkanker hangt af van verschillende dingen. Bijvoorbeeld hoe vroeg de ziekte is ontdekt en wat de oorzaak van de kanker is. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Of bekijk de overlevingscijfers van keelkanker .",Veel mensen met keelkanker hebben in het begin geen klachten. Of wat vage klachten zoals keelpijn en moeite met slikken. Of een verstopte neus.,Deze informatie is gecontroleerd door deskundigen.,"Heb je uitzaaiingen in je longen, je botten of in je lever, dan kun je meestal niet meer genezen. Je kunt vaak nog wel behandelingen krijgen. Die krijg je dan om de kanker te remmen en om klachten te verminderen. Bijvoorbeeld zodat je minder pijn hebt en je bot minder snel breekt door de uitzaaiingen. Welke behandeling je arts voorstelt, hangt af van de plek van de tumor, hoe groot de tumor is en hoeveel uitzaaiingen er zijn. Ook maakt het uit of de kanker in andere organen zit. Kun je een behandeling krijgen? Kijk dan met je arts naar de voordelen en nadelen van de behandeling. En maak samen een keuze die voor jou het beste is. Twijfel je of je de behandeling wel wilt? Vertel dit aan je arts. Ook dan kunnen jullie samen besluiten wat voor jou het beste is."
Huidlymfoom,https://www.kanker.nl/kankersoorten/huidlymfoom,2026-05-31 14:55:27,c98e6e1aa1d11e044f1ec5af3eb8191eff724e24b3c166b5216e0596bcd22daf,In de huid zitten witte bloedcellen. Huidlymfoom ontstaat als de witte bloedcellen in de huid ongeremd gaan delen. Dan krijg je een kwaadaardige plek op de huid: een huidlymfoom.,"De vooruitzichten bij een huidlymfoom hangen vooral af van het soort huidlymfoom. De meeste mensen hebben een langzaam groeiend huidlymfoom. Dan heb je goede vooruitzichten. Je kunt er meestal niet van genezen, maar veel mensen met een langzaam groeiend huidlymfoom kunnen daar oud mee worden. Bij een snel groeiend huidlymfoom zijn je vooruitzichten meestal slechter. Het is lastig om algemene informatie te geven over jouw situatie. De vooruitzichten hangen ook af van je persoonlijke omstandigheden. Heb je vragen? Stel ze dan aan je arts.",Deze informatie is gecontroleerd door deskundigen.,"Een huidlymfoom ontstaat als de lymfocyten, een bepaald soort witte bloedcellen in je huid ongeremd gaan delen en groeien. Meestal komt het dat door een afwijking in het DNA. Soms speelt een infectie mee bij het ontstaan van huidlymfoom.","Er zijn verschillende behandelingen voor huidlymfoom. Welke behandeling je krijgt, verschilt per soort huidlymfoom. Vaak krijg je eerst een hormoonzalf."
Lymfeklierkanker,https://www.kanker.nl/kankersoorten/lymfeklierkanker,2026-05-31 14:55:49,4139880478f3422269613779752a1556ead5e6074676ac9894d9b810873156b4,Lymfeklierkanker ontstaat in een lymfeklier of in lymfeweefsel. Vanuit daar kunnen de kankercellen zich verspreiden door het lichaam. Lymfeklierkanker wordt onderverdeeld in hodgkin en non-hodgkin.,N/A,"Er zijn verschillende symptomen van lymfeklierkanker: Een opgezette, dikkere lymfeklier, bijvoorbeeld bij het sleutelbeen. Meestal doet de lymfeklier geen pijn. Afvallen zonder duidelijke reden. Af en aan koorts: de koorts kan komen opzetten en weer weggaan. Erg moe zijn, zonder duidelijke reden. Nachtzweten: vaak zo erg dat je een nieuwe pyjama aan moet, of je bed moet verschonen. Een lymfoom kan ook dieper in je lichaam zitten. Bijvoorbeeld in je maag of longen. Je voelt dan geen opgezette lymfeklier, maar hebt andere klachten, bijvoorbeeld last van je maag of benauwdheid.",N/A,N/A
Lipkanker,https://www.kanker.nl/kankersoorten/lipkanker,2026-05-31 14:55:43,948ddf82ef6ef54fd91b3032301715b776d3b16544ed8a513050308bcfd33101,Bij lipkanker zit er een kwaadaardige tumor op je lip. Een kwaadaardige tumor betekent kanker. Lipkanker zit bijna altijd op je onderlip. Het is een vorm van hoofd-halskanker.,Als je kanker hebt schieten allerlei vragen door je hoofd. Word ik weer beter? Hoe lang heb ik nog? Deze video helpt om daarover in gesprek te gaan met je arts en de mensen om je heen.,"Lipkanker begint vaak als een klein, onrustig plekje op je onderlip. Dat kan eruit zien als een wit of rood bultje. Of als een blaar, zweertje, kloof of korstje dat maar niet geneest. Lees meer over hoe je lipkanker kunt herkennen .",Deze informatie is gecontroleerd door deskundigen.,Bij lipkanker kun je verschillende behandelingen krijgen. Bij een kleine tumor stelt de arts meestal een operatie voor. Mensen met een grotere tumor op de lip krijgen vaker een behandeling met inwendige of uitwendige bestraling. Bekijk de uitgebreide informatie over de behandeling van lipkanker .
Leverkanker,https://www.kanker.nl/kankersoorten/leverkanker,2026-05-31 14:55:40,db3198d6e56f153c4cf2354b51c868f6c763f92580f2021f6946b5b994b5e80b,"Leverkanker is kanker die in de lever ontstaat. Leverkanker ontstaat meestal als de lever erg beschadigd is geraakt, bijvoorbeeld door een chronische leverziekte.","Veel mensen gaan op zoek naar wat kanker betekent voor hun vooruitzichten. Is deze kanker goed te behandelen en wat kan ik verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van leverkanker hangt af van verschillende dingen. Bijvoorbeeld van de grootte van de tumor en of er uitzaaiingen zijn. Ook de conditie van je lever speelt een rol. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van leverkanker .",Van leverkanker merk je vaak lange tijd niets. Daarom wordt leverkanker vaak pas laat ontdekt.,Deze informatie is gecontroleerd door deskundigen.,"Bij leverkanker zijn verschillende behandelingen mogelijk. De meeste mensen met leverkanker krijgen een behandeling om de ziekte te remmen en klachten te verminderen, zoals TACE, doelgerichte therapie of TARE. Een leveroperatie kan soms ook een behandeling zijn."
Luchtpijpkanker,https://www.kanker.nl/kankersoorten/luchtpijpkanker,2026-05-31 14:55:48,553271fc2c2687775c24b98d04d7ff1a824647805090159a0da5621daee7024d,Luchtpijpkanker is kanker die ontstaat in je luchtpijp. Heel weinig mensen krijgen deze soort kanker. Het medische woord voor luchtpijpkanker is tracheacarcinoom.,"Begrijpelijk dat je meer wilt weten over je vooruitzichten. Is luchtpijpkanker goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van luchtpijpkanker hangt af van verschillende dingen. Bijvoorbeeld wat voor soort luchtpijpkanker je hebt. En of het is uitgezaaid. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen.",Symptomen van luchtpijpkanker kunnen zijn: kortademigheid of veel hoesten. Je kunt ook bloed ophoesten.,We weten niet altijd wat de oorzaak is van luchtpijpkanker. Je loopt meer risico op een plaveiselcelcarcinoom in je luchtpijp als je rookt of hebt gerookt.,"Je kunt verschillende behandelingen krijgen bij luchtpijpkanker. Bijvoorbeeld een operatie, bestraling, chemoradiatie en chemotherapie."
Longkanker,https://www.kanker.nl/kankersoorten/longkanker,2026-05-31 14:55:45,ab76db00cc3a037930713d4d7246b1626a6274d19cbd73e23cf5a74cb490d6b0,Longkanker is kanker die ontstaat in je longen. Het kan in 1 long zitten of in allebei je longen. De belangrijkste soorten longkanker zijn: niet-kleincellige longkanker en kleincellige longkanker. Het medische woord voor longkanker is longcarcinoom. Jaarlijks krijgen ongeveer 14.500 mensen de diagnose longkanker.,De prognose van longkanker hangt af van verschillende dingen. Bijvoorbeeld wat voor soort longkanker je hebt. En of het is uitgezaaid. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van niet-kleincellige longkanker . Bekijk de overlevingscijfers van kleincellige longkanker .,Deze informatie is gecontroleerd door deskundigen.,Deze informatie is gecontroleerd door deskundigen.,"Je kunt verschillende behandelingen krijgen bij longkanker. Bijvoorbeeld een operatie, bestraling, chemoradiatie, immunotherapie of doelgerichte therapie."
Maagkanker,https://www.kanker.nl/kankersoorten/maagkanker,2026-05-31 14:55:49,6bf1417af0337c607a310821cf75abbfae43d9512e95407589439e57d339bd3e,Maagkanker is kanker die in de maag ontstaat. De medische term is maagcarcinoom. Maagkanker wordt meestal pas laat ontdekt. Vaak zijn er dan al uitzaaiingen.,"Begrijpelijk dat je op zoek gaat naar wat maagkanker betekent voor je vooruitzichten. Is deze kanker goed te behandelen? En wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van maagkanker hangt af van verschillende dingen. Bijvoorbeeld van de soort maagkanker die je hebt, en hoe ver de ziekte is uitgebreid. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van maagkanker . Zit de tumor in het gebied waar de slokdarm overgaat in de maag, of daar dichtbij, dan heet het cardiakanker . Bekijk de overlevingscijfers van cardiakanker .","In het begin heb je van maagkanker meestal weinig of geen klachten. Als de tumor in je maagwand groeit, of daar doorheen, dan kun je wel klachten krijgen. Zoals (stekende) pijn boven in je buik of rond je borstbeen. Je kunt ook afvallen, misselijk zijn en/of braken.","Er zijn risicofactoren die de kans op maagkanker groter maken: een langdurige infectie met de Helicobacter pylori bacterie en een ongezonde leefstijl, bijvoorbeeld.","Er zijn verschillende behandelingen bij maagkanker. Vaak stelt de arts een combinatie van behandelingen voor. Welke behandeling de arts voorstelt, hangt onder andere af van de soort maagkanker en hoe uitgebreid de ziekte is: het stadium. Je kunt bijvoorbeeld een operatie krijgen, of chemotherapie, of bestraling."
Merkelcelcarcinoom,https://www.kanker.nl/kankersoorten/merkelcelcarcinoom,2026-05-31 14:55:56,3e12b5f41c0f83a29cc165a4ede052bf4163e728d4ad79d180294977a8580284,Een merkelcelcarcinoom is kanker die in de huid ontstaat. Vaak groeit deze soort kanker snel. En zaait de kanker ook snel uit. Merkelcelcarcinoom komt weinig voor.,"Begrijpelijk dat je op zoek gaat naar wat merkelcelcarcinoom betekent voor je vooruitzichten. Is het goed te behandelen? En wat kan je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van merkelcelcarcinoom hangt af van verschillende dingen. Bijvoorbeeld van hoe groot de tumor is. En of er uitzaaiingen zijn. Wil je weten waar je aan toe bent? Vraag het aan je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van merkelcelcarcinoom .",Een merkelcelcarcinoom is bijna altijd een rond bultje of knobbeltje op je huid. Vaak is het blauwrood of paarsrood. Soms is het huidkleurig. Het zit meestal op plekken waar je veel zon op je huid hebt gehad.,Merkelcelcarcinoom komt vooral voor bij mensen ouder dan 70 jaar. De belangrijkste risicofactor voor merkelcelcarcinoom is de zon. De zon geeft uv-straling af. Veel uv-straling op je huid verhoogt je kans om een merkelcelcarcinoom te krijgen.,Heb je een merkelcelcarcinoom? Dan krijg je vaak een operatie om de tumor weg te halen. Behalve als je uitzaaiingen hebt op andere plekken in je lichaam. Dan krijg je een behandeling om minder klachten te hebben. Of om de tumor minder snel te laten groeien.
MPN (myeloproliferatieve neoplasmata),https://www.kanker.nl/kankersoorten/mpn-myeloproliferatieve-neoplasmata,2026-05-31 14:56:06,029072f336aeccb167061312073cd294ee28592826a15968a2ec625994b2549b,"MPN staat voor Myelo Proliferatieve Neoplasmata. Dit is een verzamelnaam voor 3 ziektes aan het beenmerg: polycythemia vera, essentiële trombocytemie en myelofibrose. Bij deze ziektes maakt je lichaam te veel of juist te weinig bloedcellen aan. MPN komen niet vaak voor: elk jaar krijgen ongeveer 1000 mensen deze diagnose.",MPN zijn chronische ziektes. Je kunt er niet van genezen. De behandeling die je krijgt is om zo weinig mogelijk last te hebben van de ziekte. Wil je meer weten? Vraag het je arts. Die kan je meer vertellen.,"Er zijn veel verschillende klachten bij MPN. Zoals vermoeidheid, hoofdpijn of jeuk. Of nachtzweten, afvallen of pijn in je botten. Maar deze klachten komen heel vaak voor. Meestal hebben ze een andere oorzaak. Vaak worden MPN toevallig ontdekt, bijvoorbeeld bij een bloedonderzoek. MPN zijn lastig te herkennen.",Bij MPN gaat er iets mis bij het maken van bloedcellen in het beenmerg. Er worden dan te veel of te weinig bloedcellen gemaakt. De oorzaak hiervan is een fout in het DNA (een mutatie) in de stamcellen. Stamcellen zijn cellen in het beenmerg die bloedcellen worden.,"Welke behandeling je krijgt, ligt onder andere aan de soort MPN die je hebt. Door MPN kunnen bloedstolsels ontstaan. Daarom heb je een groter risico op een embolie of trombose. Veel mensen krijgen bloedverdunners om dit te voorkomen. Je kunt ook medicijnen krijgen die de extra aanmaak van de bloedcellen stoppen."
Melanoom,https://www.kanker.nl/kankersoorten/melanoom,2026-05-31 14:55:56,e98433ec70408bd7d246481186281ef061374bf2fe03f85d8bb010f9b78dfcea,Een melanoom is een vorm van huidkanker. Die kan uitzaaien naar andere plekken in je lichaam. Je herkent een melanoom aan een vlekje op je huid dat snel groeit. Of een moedervlek die verandert.,"Begrijpelijk dat je meer wilt weten over je vooruitzichten. Is een melanoom goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose hangt af van verschillende dingen. Bijvoorbeeld hoe dik het melanoom is. En of het melanoom is uitgezaaid. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Of bekijk de overlevingscijfers van melanoom .","Zo herken je een melanoom: Je hebt opeens een nieuwe, opvallende moedervlek die donkerbruin of zwart is. Een nieuwe moedervlek verandert. Of een moedervlek die je al langer hebt, verandert. De moedervlek groeit, krijgt verschillende kleuren, wordt erg donker, wordt dikker of verandert van vorm. Een moedervlek jeukt, doet pijn, bloedt of gaat open. Herken je 1 of meer van deze dingen? Ga naar de huisarts. Die onderzoekt of het vlekje op je huid inderdaad een melanoom is. Goed om te weten: bij kinderen en jonge mensen is het normaal dat er moedervlekken ontstaan en (mee)groeien. Meestal is het dan geen melanoom.","Er zijn factoren die het risico op een melanoom groter maken. Zoals verbranding door de zon als je jong bent, een lichte huid of een erfelijke aanleg.",Je kunt verschillende behandelingen krijgen bij een melanoom. Meestal krijg je een operatie. Soms krijg je een behandeling met medicijnen (immunotherapie of doelgerichte therapie) of bestraling.
Mesothelioom,https://www.kanker.nl/kankersoorten/mesothelioom,2026-05-31 14:56:04,8cea4c88919495e1b94ed7fa2070743839d41b59d1d29486734d9d8df755607d,"Mesothelioom is kanker die in een vlies ontstaat, meestal in het longvlies. De belangrijkste oorzaak van mesothelioom is contact met asbest. Daarom heet de kanker ook wel asbestkanker. De vooruitzichten van mesothelioom zijn niet goed.",Als je kanker hebt schieten allerlei vragen door je hoofd. Word ik weer beter? Hoe lang heb ik nog? Deze video helpt om daarover in gesprek te gaan met je arts en de mensen om je heen.,Van mesothelioom heb je in het begin vaak geen last. Symptomen van mesothelioom kunnen zijn: pijn in je borstkas problemen met ademen een pijnlijke en opgezwollen buik,Deze informatie is gecontroleerd door deskundigen.,"Van mesothelioom kun je niet genezen. Je krijgt een behandeling om je leven te verlengen of je klachten te verminderen. Mogelijke behandelingen zijn immunotherapie, chemotherapie of bestraling. Soms krijg je een combinatie van behandelingen."
Mondkanker,https://www.kanker.nl/kankersoorten/mondkanker,2026-05-31 14:56:06,4c646cf6a5ae1abc30cb4f9c09959bf581b60dd66f280558f69c2e7eff6d43bd,"Mondkanker is kanker die in de mondholte ontstaat. Bijvoorbeeld onder je tong, in je wang of op je tandvlees. Het medische woord voor mondkanker is mondholtekanker of mondholtecarcinoom.","Begrijpelijk dat je meer wilt weten over je vooruitzichten. Is mondkanker goed te behandelen en wat kun je verwachten? Soms is daar iets over te zeggen, maar soms ook niet. De prognose van mondkanker hangt af van verschillende dingen. Bijvoorbeeld hoe vroeg de ziekte is ontdekt en waar de kanker precies zit. Wil je weten waar je aan toe bent? Vraag het je arts. Die kan misschien meer vertellen. Bekijk de overlevingscijfers van mondkanker .",Mondkanker kun je merken aan een zweertje of een zwelling in je mond. Of je hebt rode of witte verdikte plekken in je mond.,Deze informatie is gecontroleerd door deskundigen.,"Er zijn verschillende behandelingen bij mondkanker. De meeste mensen krijgen een operatie. Maar bestraling kan ook, als eerste behandeling of na een andere behandeling."
